CO2_stored,CO2_emit,CH4_emit,N2O_emit
0.00000,85.18884,0.17143,0.00030
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.49606,0.01629,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,97.94141,0.04425,0.00255
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,89.34750,0.01580,0.00254
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.53452,0.05801,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,278.17271,0.12633,0.00927
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.53452,0.05801,0.00924
-1733.02739,265.83130,0.08548,0.00925
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.53452,0.05801,0.00924
-1733.02739,257.53452,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
-1733.02739,257.38596,0.05752,0.00924
0.00000,179.55078,0.04469,0.00718
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
0.00000,168.03846,0.04172,0.00671
