category,SDR,GHG,index,value
released,0.0,CO2,1,85.18884
released,0.0,CO2,2,89.3475
released,0.0,CO2,3,89.3475
released,0.0,CO2,4,89.3475
released,0.0,CO2,5,89.3475
released,0.0,CO2,6,89.3475
released,0.0,CO2,7,89.3475
released,0.0,CO2,8,89.3475
released,0.0,CO2,9,89.49606
released,0.0,CO2,10,89.3475
released,0.0,CO2,11,89.3475
released,0.0,CO2,12,89.3475
released,0.0,CO2,13,89.3475
released,0.0,CO2,14,89.3475
released,0.0,CO2,15,89.3475
released,0.0,CO2,16,89.3475
released,0.0,CO2,17,97.94141
released,0.0,CO2,18,89.3475
released,0.0,CO2,19,89.3475
released,0.0,CO2,20,257.38596
released,0.0,CO2,21,257.38596
released,0.0,CO2,22,257.38596
released,0.0,CO2,23,257.38596
released,0.0,CO2,24,257.38596
released,0.0,CO2,25,257.53452
released,0.0,CO2,26,257.38596
released,0.0,CO2,27,278.17271
released,0.0,CO2,28,257.38596
released,0.0,CO2,29,257.38596
released,0.0,CO2,30,257.38596
released,0.0,CO2,31,257.38596
released,0.0,CO2,32,257.38596
released,0.0,CO2,33,257.53452
released,0.0,CO2,34,265.8313
released,0.0,CO2,35,257.38596
released,0.0,CO2,36,257.38596
released,0.0,CO2,37,257.38596
released,0.0,CO2,38,257.38596
released,0.0,CO2,39,257.38596
released,0.0,CO2,40,257.38596
released,0.0,CO2,41,257.53452
released,0.0,CO2,42,257.53452
released,0.0,CO2,43,257.38596
released,0.0,CO2,44,257.38596
released,0.0,CO2,45,257.38596
released,0.0,CO2,46,257.38596
released,0.0,CO2,47,257.38596
released,0.0,CO2,48,257.38596
released,0.0,CO2,49,257.38596
released,0.0,CO2,50,257.38596
released,0.0,CO2,51,257.38596
released,0.0,CO2,52,179.55078
released,0.0,CO2,53,168.03846
released,0.0,CO2,54,168.03846
released,0.0,CO2,55,168.03846
released,0.0,CO2,56,168.03846
released,0.0,CO2,57,168.03846
released,0.0,CO2,58,168.03846
released,0.0,CO2,59,168.03846
released,0.0,CO2,60,168.03846
released,0.0,CO2,61,168.03846
released,0.0,CO2,62,168.03846
released,0.0,CO2,63,168.03846
released,0.0,CO2,64,168.03846
released,0.0,CO2,65,168.03846
released,0.0,CO2,66,168.03846
released,0.0,CO2,67,168.03846
released,0.0,CO2,68,168.03846
released,0.0,CO2,69,168.03846
released,0.0,CH4,1,0.17143
released,0.0,CH4,2,0.0158
released,0.0,CH4,3,0.0158
released,0.0,CH4,4,0.0158
released,0.0,CH4,5,0.0158
released,0.0,CH4,6,0.0158
released,0.0,CH4,7,0.0158
released,0.0,CH4,8,0.0158
released,0.0,CH4,9,0.01629
released,0.0,CH4,10,0.0158
released,0.0,CH4,11,0.0158
released,0.0,CH4,12,0.0158
released,0.0,CH4,13,0.0158
released,0.0,CH4,14,0.0158
released,0.0,CH4,15,0.0158
released,0.0,CH4,16,0.0158
released,0.0,CH4,17,0.04425
released,0.0,CH4,18,0.0158
released,0.0,CH4,19,0.0158
released,0.0,CH4,20,0.05752
released,0.0,CH4,21,0.05752
released,0.0,CH4,22,0.05752
released,0.0,CH4,23,0.05752
released,0.0,CH4,24,0.05752
released,0.0,CH4,25,0.05801
released,0.0,CH4,26,0.05752
released,0.0,CH4,27,0.12633
released,0.0,CH4,28,0.05752
released,0.0,CH4,29,0.05752
released,0.0,CH4,30,0.05752
released,0.0,CH4,31,0.05752
released,0.0,CH4,32,0.05752
released,0.0,CH4,33,0.05801
released,0.0,CH4,34,0.08548
released,0.0,CH4,35,0.05752
released,0.0,CH4,36,0.05752
released,0.0,CH4,37,0.05752
released,0.0,CH4,38,0.05752
released,0.0,CH4,39,0.05752
released,0.0,CH4,40,0.05752
released,0.0,CH4,41,0.05801
released,0.0,CH4,42,0.05752
released,0.0,CH4,43,0.05752
released,0.0,CH4,44,0.05752
released,0.0,CH4,45,0.05752
released,0.0,CH4,46,0.05752
released,0.0,CH4,47,0.05752
released,0.0,CH4,48,0.05752
released,0.0,CH4,49,0.05752
released,0.0,CH4,50,0.05752
released,0.0,CH4,51,0.05752
released,0.0,CH4,52,0.04469
released,0.0,CH4,53,0.04172
released,0.0,CH4,54,0.04172
released,0.0,CH4,55,0.04172
released,0.0,CH4,56,0.04172
released,0.0,CH4,57,0.04172
released,0.0,CH4,58,0.04172
released,0.0,CH4,59,0.04172
released,0.0,CH4,60,0.04172
released,0.0,CH4,61,0.04172
released,0.0,CH4,62,0.04172
